"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3800,3800,3700,3600,3600,3600,3600,3700,3500,3600,3700,3800,3700,3650,3600,3560,3560,3548,3592.5,3600,3700,3697,3695,3700,3750,3895,3750,3400,3575.5,3599,3544,3600,3799,3800,3800,3800,3794,3695,3599,3600,3600,3580,3575,3600,3650,3700,3795,3775,3650,3599,3500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,3645,4000,4250,4360,4300,4200,4000,4200,4200,4000,4100,4000,3991,3900,3995,4200,4300,4500,4450,4400,4500,4450,4500
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,1872.5,1850,1600,1550,1500,1600,1597.5,1600,1550,1550,1525,1500,1500,1495,1497.5,1450,1475,1495,1495,1500,1400,1400,1400,1485,1525,1450,1300,1400,1400,1400,1400,1500,1462.5,1500,1500,1500,1550,1600,1500,1500,1592.5,1595,1400,1450,1495,1600,1650,1700,1700,1685,1650,1650,1695,1690,1695,1750,1795,1800,1800,1825,1812.5,1800,1800,1797,1800,1800,1799,1800,1850,1800,1797.5,1795,1850,1800,1700,1750,1650,1750,1748,1700,1800,1800,1800,1800,1800,1800,1750,1700,1750,1700,1697,1750,1815,1850,1850,1895,1870,1800,1795,1770
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,,,,,,,,,,,,,,1395,1400,1440.5,1450,1450,1407,1400,1400,1400,1395,1375,1400,1500,1475,1500,1500,1495,1450,1450,1450,1495,1375,1450,1400,1475,1495,1500,1500,1500,1475,1450,1450,1395,1400,1425,1400,1400,1425,1500,1500,1500,1500,1495,1475,1450,1450,1475,1500,1500,1500,1550,1595,1600,1550,1550,1575,1575,1550,1525,1595,1595,1600,1595,1595,1625,1600,1575,1550,1525,1595,1600,1650,1650,1695,1700,1695,1700,1695,1695,1650,1625,1600,1600,1645,1650,1650,1650,1695,1695,1650,1650,1650,1695
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,,,,,,,,,,,,,,,,,,,1795,1695,1600,1700,1800,1900,2000,2000,2000,2000,1995,1900,1800,1750,1770,1762.5,1700,1762.5,1950,2000,2000,2000,2000,2000,1900,1825,1800,1800,1999,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,2000,2000,2000,2000,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1900,1925,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1950,2000,2100,2000,2000,2000,2100,2100,2100,2000,2000,2000,2000,2100,2100
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,1250,1162.5,1097.5,1095,1250,1150,1100,1100,1200,1269,1246.5,1200,1106,1100,1076,1095,1100,1175,1150,1105.5,1137,1150,1150,1100,1177,1175,1212.5,1125,1100,1100,1100,1162.5,1127,1212.5,1247,1137,1175,1205,1295,1200,1297.5,1297.5,1195,1272.5,1295,1352,1297.5,1275,1325,1232.5,1295,1295,1259.5,1295,1280,1200,1200,1295,1225,1247.5,1275,1325,1332,1275,1279.5,1362.5,1499.5,1475.5,1400,1350,1236,1200,1275,1350,1386.5,1353,1300,1453,1450,1500,1500,1395,1400,1400,1500,1475
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,1750,1500,1512.5,1550,1497.5,1595,1650,1700,1637.5,1625,1495,1450,1400,1400,1495,1450,1400,1400,1450,1400,1375,1350,1395,1350,1395,1395,1350,1377.5,1375,1350,1350,1350,1345,1300,1300,1349.5,1350,1380,1385,1350,1350,1390,1395,1395,1395,1395,1375,1359,1375,1375,1400,1400,1400,1400,1400,1400,1395,1395,1396.5,1400,1400,1495,1450,1450,1495,1495,1475,1450,1495,1450,1450,1495,1549.5,1500,1495,1525,1495,1495,1450,1450,1500,1485,1500,1550,1585,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650,1650,1695,1695,1695,1695,1695,1699.5,1695,1700,1700
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,3500,3400,3300,3000,2895,2650,2650,2750,2850,2750,2700,2600,2495,2500,2695,2600,2600,2625,2500,2500,2495,2495,2495,2595,2500,2500,2500,2750,2895,2975,2825,2650,2800,2700,2650,2635,2700,2895,2950,3000,3000,2970,2850,2850,2885,3200,3225,3000,2997.5,3000,3000,3150,3100,2997.5,2995,3000,3100,3200,3497.5,3480,3250,3200,3195,3022.5,3050,3000,2995,3000,2895,3295,3395,3395,3500,3600,3700,3500,3500,3500,3350,3250,3295,3400,3500,3600,3600,3850,3695,3695,3600,3500,3500,3695
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,1995,1899,1700,1800,1700,1675,1847.5,1975,1800,1762.5,1895,1980,1980,1625,1575,1600,1597.5,1825,1697.5,1785,1950,2100,2300,2187.5,2087.5,2300,2100,2300,2246.5,2000,1800,1812.5,1975,2000,2100,1950,1895,1867.5,1890,1950
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,,,,,,,,,,,,,,,,,2600,2600,2525,2553,2597.5,2650,2572.5,2497.5,2595,2795,2500,2500,2550,2550,2500,2600,2650,2625,2700,2650,2600,2600,2600,2625,2795,2990,2985,3000,3050,2797.5,2995,2895,2900,2850,2895,3200,3295,3400,3275,3495,3300,3300,3295,3297.5,3225,3500,3500,3500,3712.5,3700,3500,3500,3597.5,3525,3500,3500,3675,3700,3625,3650,3795,3825,3795,3750,3680,3700,3700,3600,3650,3695,3700,3800,3800,3950,3800,3772.5,3750,3700,3735,3800,3800,3892.5,3900,3950,3950,3950,3995,3975,3900,3800
