"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"New Haven","CT","New Haven-Milford","New Haven County",37,,,,,,1150,1175,1162.5,1195,1222.5,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1200,1125,1150,1150,1150,1150,1200,1162.5,1112.5,1175,1175,1200,1200,1137.5,1100,1100,1195,1162.5,1150,1200,1125,1192.5,1250,1200,1200,1200,1200,1185,1200,1200,1200,1212.5,1287.5,1262.5,1250,1350,1200,1225,1250,1250,1200,1200,1275,1312.5,1197.5,1300,1312.5,1250,1200,1275,1200,1260,1212.5,1275,1450,1525,1500,1395,1300,1300,1320,1375,1362.5,1350,1395,1500,1525,1537.5,1550,1600,1550,1550,1450,1350,1350
"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2350,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425,2499,2499.5,2472.5,2585,2695,2600,2495,2500,2495
"Temecula","CA","Riverside-San Bernardino-Ontario","Riverside County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2675,2600,2600,2595,2672.5,2747.5,2700,2725,2800,2797.5,2695,2600,2695,2772.5,2745,2750,2650,2700,2800,2650,2850
"Waterbury","CT","New Haven-Milford","New Haven County",40,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,775,775,800,775,762.5,795,795,762.5,775,795,800,800,800,800,825,800,800,825,800,800,800,800,800,800,825,800,800,800,825,837.5,827,825,850,850,825,825,850,862.5,850,825,850,850,850,850,850,825,825,800,812.5,800,825,825,825,825,825,825,850,837.5,825,850,850,850,850,850,825,825,825,850,850,850,850,850,850,850,850,850,837.5,852.5
"Somerville","MA","Boston-Cambridge-Newton","Middlesex County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3800,3750,3800,3650,3600,3800,3200,3200,3200,3750,3750,4000,4000,4000,3800,3500,3500,3250,3200,3150,3200,3700,4099,4350,4350,4200,4200,4100,4100,4000,3950
"Weston","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4200,4000,4100,4150,4200,4200,4200,4100,4400,4550,4650,4500,4245,4550,4625
"West Hartford","CT","Hartford-West Hartford-East Hartford","Hartford County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1400,1450,1700,1545,1500,1500,1450,1450,1450,1500,1500,1500,1600,1600,1650,1600,1600,1600,1600
"Greenwich","CT","Bridgeport-Stamford-Norwalk","Fairfield County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,10000,10750,9850,10825,10550,10500,10600,12500,13500,13000,11250,10500,9000,9000,10500,9650,9875,10900,10000,9800,9500,9125,9000,9750,9000,9000,9800,11500,11500,10000,9950,9500,9400,11000,11000
"Buford","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.5,1995,1985,1985,1995,1995,1995,1999.5,2000,2000,2011.5,1999,2072.5,2199,2050,2050
"Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4350,4500,4150,4000,4100,4550,4500,4500,4500,4500,4650,4300,4350,4500,4500,4300,4400,4600,4600,4500,4500,4500
"Coral Gables","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,9900,10000,11000,11000,9950,11000,11000,11000,11500,12000,10000,10000,8700,8550,8300,8375,8900,7990,7990
"Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",48,,,,,2495,2495,2472.5,2400,2472.5,2500,2500,2497.5,2500,2500,2495,2499,2400,2450,2500,2500,2450,2497,2499,2450,2495,2450,2400,2400,2450,2400,2500,2500,2499.5,2480,2425,2450,2495,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2595,2550,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2587.5,2600,2600,2625,2685,2675,2695,2780,2695,2725,2750,2800,2765,2750,2800,2800,2800,2797.5,2790,2750,2795,2800,2797,2895,2800,2895,2900,2885,2900,2900,2850,2895
